,밑위,엉덩이단면,총장,허리단면,허벅지단면,classification,cluster_size
3775,32.5,66.0,97.0,55.0,40.3,2,XL
3776,32.0,55.0,96.0,30.0,28.0,3,M
3777,46.5,55.0,105.0,35.0,31.5,0,L
3778,35.0,57.0,108.0,37.5,32.5,0,L
3779,32.0,46.0,103.0,32.3,32.8,3,M
3780,32.5,47.3,103.0,33.5,33.4,3,M
3781,33.0,48.5,104.0,34.75,34.0,3,M
3782,33.5,49.8,105.0,36.0,34.6,0,L
3783,34.0,51.0,105.0,37.3,35.3,0,L
3784,34.5,52.3,106.0,38.5,35.9,0,L
3785,35.0,53.5,106.0,39.8,36.5,0,L
3786,28.0,48.0,102.5,39.0,28.7,0,L
3787,28.5,49.25,103.0,40.25,29.35,0,L
3788,29.0,50.5,103.5,41.5,30.0,0,L
3789,29.5,51.75,106.5,42.75,30.65,0,L
3790,30.0,53.0,107.0,44.0,31.3,2,XL
3791,30.5,54.25,107.5,45.25,31.95,2,XL
3792,31.5,56.75,108.5,47.75,33.25,2,XL
3793,33.0,49.0,106.0,36.0,31.0,3,M
3794,34.0,51.0,107.0,37.5,32.0,0,L
3795,35.0,53.0,109.0,40.0,34.0,0,L
3796,36.0,54.0,113.0,42.0,35.0,0,L
3797,37.0,56.0,116.0,45.0,37.0,2,XL
3798,30.0,44.5,105.5,33.65,29.5,1,XS
3799,30.7,46.4,106.5,35.55,30.15,3,M
3800,29.5,49.0,97.0,33.0,33.0,3,M
3801,30.0,51.5,99.0,35.5,35.5,0,L
3802,29.5,49.0,97.0,33.0,33.0,3,M
3803,30.0,51.5,99.0,35.5,35.5,0,L
3804,32.0,54.0,97.0,32.0,31.0,0,L
3805,33.0,58.0,101.0,33.0,33.0,0,L
3806,32.0,54.0,97.0,32.0,31.0,0,L
3807,33.0,58.0,101.0,33.0,33.0,0,L
3808,32.0,54.0,97.0,32.0,31.0,0,L
3809,33.0,58.0,101.0,33.0,33.0,0,L
3810,33.0,54.0,97.0,32.0,31.0,0,L
3811,34.0,58.0,101.0,33.0,33.0,0,L
3812,33.0,54.0,97.0,32.0,31.0,0,L
3813,34.0,58.0,101.0,33.0,33.0,0,L
3814,33.0,54.0,97.0,32.0,31.0,0,L
3815,34.0,58.0,101.0,33.0,33.0,0,L
3816,31.0,46.5,107.5,31.0,30.0,3,M
3817,32.0,48.5,108.5,33.0,31.0,3,M
3818,33.0,50.5,109.5,35.0,32.0,0,L
3819,27.0,48.0,103.0,35.0,30.8,3,M
3820,27.0,49.25,103.0,36.3,31.4,0,L
3821,27.5,50.5,104.0,37.5,32.0,0,L
3822,27.5,51.75,104.0,38.8,32.6,0,L
3823,28.0,53.0,105.0,40.0,33.3,0,L
3824,28.0,54.25,105.0,41.3,33.9,0,L
3825,28.5,55.5,105.0,42.5,34.5,0,L
3826,29.0,56.75,105.0,43.8,35.1,2,XL
3827,29.5,58.0,106.0,45.0,35.8,2,XL
3828,30.5,60.5,106.0,47.5,37.0,2,XL
3829,31.5,63.0,107.0,50.0,38.3,2,XL
3830,32.5,65.5,107.0,52.5,39.5,2,XL
3831,33.5,68.0,108.0,55.0,40.8,2,XL
3832,30.0,53.0,99.5,33.5,33.0,0,L
3833,31.0,55.0,101.0,36.0,34.0,0,L
3834,32.0,57.0,102.5,38.5,35.0,0,L
3835,33.0,59.0,104.0,41.0,36.0,0,L
3836,34.0,61.0,105.5,43.5,37.0,2,XL
