,height,hem,hip,outer_leg,waist,thigh
2292,153.5,33.75,47.3,46.55,38.0,24.85
2293,155.0,30.75,44.0,47.9,41.15,22.25
2294,154.6,31.5,43.0,47.5,41.8,24.75
2295,153.3,30.0,42.25,46.8,37.7,23.95
2296,159.8,30.0,45.15,49.05,34.15,27.45
2297,169.2,36.9,52.65,52.7,44.5,32.1
2298,162.0,33.75,49.25,50.35,38.35,30.0
2299,165.0,34.5,48.65,50.5,38.25,29.8
2300,161.5,32.75,45.7,49.15,35.35,26.2
2301,155.3,31.5,46.8,48.0,42.35,27.25
2302,163.2,31.75,45.25,51.5,34.6,27.2
2303,164.3,36.5,48.85,50.9,39.9,29.7
2304,160.3,31.75,42.35,50.15,29.65,24.9
2305,163.0,32.0,44.3,51.25,29.65,25.8
2306,165.0,31.5,44.8,50.2,36.65,26.1
2307,164.3,35.0,48.35,51.25,39.85,28.2
2308,157.8,32.0,43.85,47.75,33.8,26.7
2309,165.5,30.5,41.2,51.05,30.35,21.65
2310,164.0,36.5,51.35,51.0,44.1,28.75
2311,166.3,33.0,45.65,51.1,34.3,26.85
2312,162.2,31.4,46.6,49.6,37.05,27.35
2313,154.2,30.85,42.9,46.0,34.45,25.8
2314,164.0,32.0,46.9,51.65,35.8,27.7
2315,159.9,33.7,48.05,47.8,42.15,28.6
2316,165.6,33.25,49.1,52.25,37.85,28.95
2317,165.1,31.65,43.35,50.8,33.0,25.0
2318,154.1,30.4,44.4,47.6,37.75,25.95
2319,157.4,32.15,46.4,48.25,34.55,27.4
2320,152.4,32.5,45.75,46.5,45.35,24.95
2321,159.5,34.75,49.65,49.1,44.75,29.8
2322,171.4,33.7,49.0,52.45,39.5,30.65
2323,158.4,35.2,50.0,49.4,40.3,28.7
2324,156.8,31.2,45.45,48.45,34.3,27.1
2325,160.0,32.45,45.7,49.75,35.65,27.25
2327,151.3,31.4,47.85,46.75,43.5,27.9
2328,151.8,31.3,47.1,47.1,39.25,26.5
2330,152.4,31.05,47.5,46.1,36.5,28.15
2331,153.6,31.75,46.45,47.55,34.75,27.8
2332,161.3,29.75,46.65,49.1,38.0,26.6
2333,156.2,34.55,48.55,47.4,43.15,27.5
2334,167.0,34.25,48.5,52.7,43.5,27.85
2335,157.7,30.45,43.75,48.1,34.05,24.3
2336,159.6,31.65,46.75,49.6,35.75,25.9
2337,159.6,32.35,45.75,48.45,38.75,24.45
2338,149.7,29.4,41.25,45.4,40.1,23.4
2339,150.0,30.4,44.95,44.95,37.15,25.95
2340,166.4,36.15,50.45,51.3,41.6,29.7
2341,161.3,33.25,45.8,49.05,41.3,26.45
2342,153.3,34.0,49.8,45.5,39.6,30.05
2343,164.0,34.0,46.35,49.75,36.65,27.95
2344,163.0,35.0,46.0,50.2,39.35,26.45
2345,157.5,31.5,43.3,48.65,33.15,25.15
2346,158.7,33.75,43.85,48.5,31.55,25.1
2347,159.4,36.0,47.9,48.75,42.9,27.4
2348,152.8,30.65,42.0,46.2,35.5,22.25
2349,156.3,32.5,44.95,47.5,33.4,26.2
2350,159.1,34.5,46.1,49.1,37.45,25.65
2351,156.1,33.0,45.05,48.65,40.6,25.5
2352,151.1,31.75,48.1,45.1,43.0,27.45
2353,173.1,35.1,53.2,54.25,45.85,31.0
2354,164.4,33.65,48.8,50.1,40.85,28.5
2355,158.0,28.75,43.95,48.1,35.25,23.9
2356,155.8,32.95,47.2,48.7,45.0,26.35
2357,156.1,35.65,48.6,48.5,45.5,26.9
2358,164.8,33.5,45.85,51.35,37.45,26.2
2359,157.2,32.9,50.9,47.95,36.0,30.8
2360,160.9,34.4,52.0,48.0,41.95,30.65
2361,161.2,38.4,52.65,50.45,48.8,30.45
